date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,y
01.01.20 0:00,"21,24","111,02","115,8",276,"29,37","444,93","1,4","50,59","78,78","55,49","34,29","55,28","58,8","47,71","82,7",52,"3,98","2,35","0,5","4,87","1,44","13,51","-11,06","-10,31","47,88","0,08","-3,21","-0,26","-0,01","1,79","5,03","4,83","4,83","4,9","4,73","3,35","65,65","209,19","228,27","234,49","11,97","105,97","81,39","1,48","1,79","0,74","1,41","957,76","59,88","55,34","66,47","64,75","58,75","64,3","120,2","51,01",-21,"757,96","77,04",4,170,"25,86"
01.01.20 1:00,"21,24","110,99","115,8",276,"29,36","445,07","1,4","50,55","79,58","54,87","34,25","55,24","58,79","46,35","82,42","52,03","3,98","2,35","0,5","4,8","1,44","13,51","-11,07","-10,3","47,53","0,08","-3,36","-0,61","-0,01","1,79","5,01","4,75","4,75","4,86","4,69","3,32","65,6","209,06","228,3","234,81","11,63","105,89","81,28","1,48","1,79","0,74","1,41","957,78","59,84","55,36","66,59","64,76","58,67","64,03","120,61","50,99","-20,35","757,25","78,91","4,3",170,"25,95"
01.01.20 2:00,"21,24","110,96","115,8",276,"29,24","445,09","1,41","50,51","79,95","54,91","34,43","55,18","58,78",45,"82,09","51,97","3,98","2,35","0,5","4,7","1,44","13,68","-11,08","-10,3","47,85","0,08","-3,4","-0,48","-0,01","1,79","5,03","4,8","4,8","4,86","4,73","3,3","65,78","209,06","228,15","235,16","12,35","105,16","81,51","1,46","1,79","0,74","1,41","958,07","59,83","55,31","66,47","64,84","58,83","63,92","120,73","50,98","-19,29","756,55","79,12","5,49","170,21","25,83"
01.01.20 3:00,"21,24","110,93","115,8",276,"29,65","440,1","1,41","50,47","79,8","53,32","34,33","55,2","58,79","43,64","81,87",52,"3,98","2,36","0,5","4,69","1,44","14,04","-11,12","-10,34","48,18","0,08","-3,47","-0,56","-0,01","1,79","5,24","5,12","5,12","5,13","4,73","3,24","65,88","208,79","227,92","235,51","12,74","106,69","81,74","1,46","1,79","0,74","1,41","937,92","59,65","55,2","66,27","64,7","59,37","64,03","120,22","22,86","-17,94","755,85","81,67",6,"179,57","25,64"
01.01.20 4:00,"21,24","110,9","115,8",276,"29,87","436,38","1,41","50,47","79,92","55,12","34,16","55,23","58,85","42,29","81,66","51,95","3,98","2,35","0,5","4,64","1,45","14,1","-11,19","-10,38","48,51","0,08","-3,69","-0,68","-0,01","1,79","5,51","5,36","5,36","5,48","4,82","3,31","66,3","208,89","227,91","235,85","13,89","104,82","82,26","1,39","1,79","0,75","1,41","927,46","59,6","55,1","66,24","64,78","59,63","64,39","120,2","22,02","-16,21","755,15",77,"6,12",180,"25,44"
01.01.20 5:00,"21,24","110,87","115,8",276,"30,42","434,95","1,42","50,46","80,38","53,78","34,48","55,3","58,8","40,93","81,46","51,99","3,98","2,35","0,5","4,62","1,46","14,22","-11,27","-10,5","48,85","0,08","-3,86","-0,53","-0,01","1,79","5,74","5,53","5,53","5,73","4,84","3,19","66,67","208,4","227,67","236,2","14,24","107,6","82,57","1,4","1,79","0,75","1,41","910,9","59,69","55,07","66,31","64,97","59,25","64,28","119,73","22,04","-14,86","754,45","82,08","6,62",180,"25,24"
01.01.20 6:00,"21,24","110,85","115,8",276,"30,41","434,83","1,42","50,45","80,96","55,23","34,37","55,37","58,86","39,56","81,26","51,98","3,98","2,34","0,5","4,57","1,47","14,21","-11,21","-10,43","49,14","0,07","-3,94","-0,5","-0,01","1,79","5,84","5,64","5,64","5,76","5,09","3,04","67,13","208,69","227,79","236,54","15,15","106,09","82,99","1,38","1,79","0,75","1,42","906,65","59,69","55,1","66,25","64,9","59,28","64,13","121,75","22,05","-13,14","753,82","79,66","7,04","180,66","25,15"
01.01.20 7:00,"21,24","110,83","115,8",276,"30,41","435,01","1,41","50,45","80,22","55,37","34,53","55,34","58,73","38,19","81,1",52,"3,98","2,36","0,5","4,5","1,47","14,21","-10,73","-9,93","49,01","0,07","-3,24","-0,4","-0,01","1,79","5,71","5,65","5,65","5,78","5,18","2,98","67,29","208,82","227,82","236,89",15,"106,24","82,97","1,33","1,79","0,75","1,42","906,18","59,67","55,19","66,46","64,66","59,2",64,"122,11","22,07",-12,"753,36","83,06","7,24","189,9","24,76"
01.01.20 8:00,"21,24","110,9","115,8",276,"30,3","435,04","1,41","50,44","76,53","54,5","34,09","55,26","58,84","36,82","80,93","51,99","3,98","2,35","0,5","4,43","1,48","14,28","-10,65","-9,83","48,09","0,07","-3,04","-0,35","-0,01","1,79","5,65","5,7","5,7","5,77","5,18","3,17","67,38","208,85","228,11","237,19","16,72","104,99","83,44","1,4","1,79","0,75","1,42","903,66","59,69","55,29","66,46","64,77","59,2","64,65","122,42","22,09","-10,39","752,9",85,"7,44","190,18","24,75"
01.01.20 9:00,"21,24",111,"115,8","276,23","30,32","435,11","1,41","50,44","73,59","54,56","33,94","55,28","58,89","35,45","80,78","52,02","3,98","2,35","0,5","4,74","1,49","14,4","-10,63","-9,84","48,45","0,07","-2,44","-0,33","-0,01","1,79","5,61","5,71","5,71","5,71","5,11","3,51","68,43","208,95","228,14","237,35","17,97","104,57","83,89","1,37","1,79","0,75","1,42","907,08","59,75","55,4","66,59","64,58","59,11","64,56","123,22","21,98","-9,23","752,45",85,"7,63","195,04","24,97"
